"order_id","order_date","customer_id","shipping_method_id","dest_address_id"
1,"2023-07-19 11:32:03",2,1,312
2,"2023-12-12 14:06:08",2,3,857
3,"2023-12-08 19:55:19",3,3,763
4,"2023-07-12 15:26:30",4,3,85
5,"2024-04-14 22:57:17",4,3,180
6,"2023-12-19 07:43:57",4,3,546
7,"2024-01-06 14:03:56",5,3,13
8,"2023-07-24 13:27:09",6,0,103
9,"2023-09-29 02:29:48",6,2,232
10,"2023-11-14 16:13:49",7,0,250
11,"2023-12-23 11:15:16",7,0,682
12,"2023-07-04 10:31:55",8,2,490
13,"2024-05-16 03:51:07",8,3,644
14,"2023-10-16 08:48:46",10,0,465
15,"2024-01-05 06:44:40",11,2,463
16,"2023-08-04 14:14:44",12,2,185
17,"2023-08-16 00:47:49",12,1,214
18,"2024-01-15 17:20:55",13,3,226
19,"2024-03-04 11:48:57",13,0,448
20,"2023-12-02 20:03:39",14,2,503
21,"2023-09-04 04:18:56",14,2,925
22,"2023-09-28 09:01:31",15,3,170
23,"2024-05-15 21:22:27",16,0,235
24,"2023-09-29 19:24:21",17,1,411
25,"2023-09-19 17:24:23",18,3,161
26,"2024-02-15 15:38:37",18,1,933
27,"2024-03-11 14:39:12",18,2,987
28,"2024-06-09 12:36:36",19,3,204
29,"2024-01-31 11:58:37",19,1,946
30,"2023-09-21 21:46:01",20,0,562
31,"2024-03-01 17:57:32",20,1,801
32,"2024-05-23 12:49:09",21,2,376
33,"2023-08-26 08:52:12",21,0,482
34,"2024-01-23 15:25:07",22,1,631
35,"2024-04-08 04:35:59",23,2,632
36,"2023-07-27 15:52:36",23,2,807
37,"2023-10-08 23:21:38",25,0,205
38,"2024-02-09 04:41:11",26,2,692
39,"2023-11-26 11:47:11",26,1,997
40,"2023-09-09 00:49:59",27,1,486
41,"2023-06-30 00:23:36",27,1,604
42,"2024-01-16 09:47:01",27,3,975
43,"2023-08-28 13:46:05",28,0,439
44,"2024-02-22 06:08:37",28,2,816
45,"2024-01-24 23:53:00",29,0,380
46,"2023-08-01 16:15:13",30,2,602
47,"2023-09-09 01:11:10",30,1,978
48,"2023-07-28 15:23:50",31,2,489
49,"2023-08-31 22:39:45",32,1,52
50,"2023-07-17 18:34:52",32,3,539
51,"2024-05-18 18:02:15",32,1,735
52,"2024-02-25 12:54:04",33,2,30
53,"2023-06-22 11:32:30",33,2,417
54,"2024-06-09 17:39:45",33,1,785
55,"2024-01-28 03:59:40",34,1,961
56,"2023-06-30 04:54:59",36,2,169
57,"2023-07-29 05:22:17",38,0,695
58,"2024-06-11 07:28:05",39,3,112
59,"2023-11-19 10:59:16",40,2,33
